partid,aspect_ind,sentiment,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,done,soep_item,rating,aspect,r_risk,r_frequency,r_social,r_situation,aspect_ind_cat,r_risk_binary,n_seeking,n_avoiding,r_risk_s,r_social_s,r_situation_s,r_frequency_s,med_risk,med_social,med_situation,med_frequency,m_sentiment,l_sentiment,s_sentiment,SMRD
pmk7bbsa9k,1,-2,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks to profit personally,9.7,7.4,2.3,7.8,Aspect #1,seeking,3,1,0.644825880219161,-0.3003958438139414,-1.2049896265113655,-0.4608572235855412,9,2.0999999999999996,8.899999999999999,7.4,-2.25,2,-6,1
pmk7bbsa9k,2,2,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks because they are usually fun,8.6,7.4,6.3,9.1,Aspect #2,seeking,3,1,0.29017164609862245,1.4797276750834893,0.21908902300206645,-0.4608572235855412,9,2.0999999999999996,8.899999999999999,7.4,-2.25,2,-6,1
pmk7bbsa9k,3,-6,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks because I'm not afraid of failure,9.4,9.1,1.9,10,Aspect #3,seeking,3,1,0.5481019981862868,-0.4784081957036845,1.2049896265113655,1.4977859766530088,9,2.0999999999999996,8.899999999999999,7.4,-2.25,2,-6,1
pmk7bbsa9k,4,-3,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I only avoid risks I find to not have a worthwhile payoff,3.1,7.3,1.4,8.7,Aspect #4,avoiding,3,1,-1.4830995245040703,-0.7009236355658633,-0.21908902300206645,-0.5760715294819265,9,2.0999999999999996,8.899999999999999,7.4,-2.25,2,-6,1
p56jepscab,1,NA,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1,gen,4,I don't like uncertainty,0,8.3,0.9,6.2,Aspect #1,avoiding,0,4,-1.231984805614429,-1.1405348184650688,-0.2150122317600065,0.4392941269891137,1.8,2.05,6.6,8.100000000000001,-2,-2,-2,-1
p56jepscab,2,NA,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1,gen,4,I want my life to be somewhat predictable,2.8,8.8,1.6,3.8,Aspect #2,avoiding,0,4,0.9239886042108217,-0.44629623331241824,-1.1532474248945803,0.9017089975039703,1.8,2.05,6.6,8.100000000000001,-2,-2,-2,-1
p56jepscab,3,-2,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1,gen,4,Taking risks can backfire sometimes,1.1,6.3,3.2,10,Aspect #3,avoiding,0,4,-0.38499525175450905,1.1405348184650688,1.270526824036402,-1.4103653550703124,1.8,2.05,6.6,8.100000000000001,-2,-2,-2,-1
p56jepscab,4,-2,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1,gen,4,"I'm content in my life right now, so I don't want to take any risks yet",2.5,7.9,2.5,7,Aspect #4,avoiding,0,4,0.6929914531581163,0.44629623331241824,0.09773283261818477,0.06936223057722848,1.8,2.05,6.6,8.100000000000001,-2,-2,-2,-1
p6sf43r91a,1,NA,judg_asp,rev,22,female,14,unemployed,0_1k,correct,correct,96,100,1,gen,6,I look ahead at possible consequences of my actions,0.6,6.2,3.5,8.6,Aspect #1,avoiding,0,3,-0.8728715609439696,-0.790058263101593,0.02468571493056527,-0.7179428664813209,1.4,4,8.6,6.5,NaN,-Inf,Inf,-1
p6sf43r91a,2,NA,judg_asp,rev,22,female,14,unemployed,0_1k,correct,correct,96,100,1,gen,6,I always try and look at the bigger picture,3,6.5,4,7.2,Aspect #2,avoiding,0,3,1.0910894511799618,-0.33425541900452,-1.0121143121531908,-0.424238966557144,1.4,4,8.6,6.5,NaN,-Inf,Inf,-1
p6sf43r91a,3,NA,judg_asp,rev,22,female,14,unemployed,0_1k,correct,correct,96,100,1,gen,6,I have a lot on the line to be risking it,1.4,8.1,5.6,9.9,Aspect #3,avoiding,0,3,-0.21821789023599247,1.1243136821061137,0.9874285972226245,1.1421818330384663,1.4,4,8.6,6.5,NaN,-Inf,Inf,-1
psk9b6s1j4,1,-2,asp_judg,std,34,male,NA,employed,1k_2k,correct,correct,100,100,1,gen,7,i sometimes like to take risks,5.2,5.6,5.2,5.7,Aspect #1,seeking,2,0,NaN,-0.7071067811865476,0.7071067811865475,0.7071067811865475,5.2,5.35,5.45,5.4,1,4,-2,1
psk9b6s1j4,2,4,asp_judg,std,34,male,NA,employed,1k_2k,correct,correct,100,100,1,gen,7,sometimes the reward is worth it,5.2,5.2,5.5,5.2,Aspect #2,seeking,2,0,NaN,0.7071067811865476,-0.7071067811865475,-0.7071067811865475,5.2,5.35,5.45,5.4,1,4,-2,1
pv2hqjtsak,1,-2,asp_judg,rev,57,female,18,employed,4k_5k,correct,correct,99,90,1,gen,9,i take risks for the thrill,9.3,2.7,1.3,1.3,Aspect #1,seeking,2,0,-0.7071067811865475,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,9.4,0.8500000000000001,2.45,5.35,-1,0,-2,1
pv2hqjtsak,2,0,asp_judg,rev,57,female,18,employed,4k_5k,correct,correct,99,90,1,gen,9,i take risks for the potential reward,9.5,8,0.4,3.6,Aspect #2,seeking,2,0,0.7071067811865475,-0.7071067811865476,0.7071067811865476,0.7071067811865476,9.4,0.8500000000000001,2.45,5.35,-1,0,-2,1
p51m1d9843,1,2,judg_asp,std,38,female,14,employed,2k_3k,correct,correct,100,78,1,gen,0,I enjoy living.,0,10,0,10,Aspect #1,avoiding,0,3,NaN,NaN,0.5773502691896257,NaN,0,0,10,10,1.5,2,1,-1
p51m1d9843,2,1,judg_asp,std,38,female,14,employed,2k_3k,correct,correct,100,78,1,gen,0,"life, money, risk of things i love",0,10,0,10,Aspect #2,avoiding,0,3,NaN,NaN,0.5773502691896257,NaN,0,0,10,10,1.5,2,1,-1
p51m1d9843,3,NA,judg_asp,std,38,female,14,employed,2k_3k,correct,correct,100,78,1,gen,0,I can't think of more,0,10,0,0,Aspect #3,avoiding,0,3,NaN,NaN,-1.1547005383792517,NaN,0,0,10,10,1.5,2,1,-1
p67815jegg,1,NA,judg_asp,rev,54,male,16,NA,0_1k,correct,correct,76,91,1,gen,5,I have concern about some things but if some others are risky and have a payoff I might try them.  Learning a new skill is something I don't mind.,3.7,5.9,3.8,4,Aspect #1,avoiding,2,2,-0.6365588752143473,1.0458107086614246,-0.7225644936708502,0.24193548387096775,5.4,2.8499999999999996,5.6,5.95,1,4,-3,-1
p67815jegg,2,-3,judg_asp,rev,54,male,16,NA,0_1k,correct,correct,76,91,1,gen,5,I worry if something is immediatly physically dangerous.,2.7,3.3,2.3,3.5,Aspect #2,avoiding,2,2,-1.0681242143427183,-0.5631288431253824,-0.8946036588305765,-1.435483870967742,5.4,2.8499999999999996,5.6,5.95,1,4,-3,-1
p67815jegg,3,4,judg_asp,rev,54,male,16,NA,0_1k,correct,correct,76,91,1,gen,5,I don't mind doing something if it's very fun.,7.2,6,3.4,7.2,Aspect #3,seeking,2,2,0.8739198117349514,0.616760161518276,0.37848616335139773,0.3064516129032258,5.4,2.8499999999999996,5.6,5.95,1,4,-3,-1
p67815jegg,4,2,judg_asp,rev,54,male,16,NA,0_1k,correct,correct,76,91,1,gen,5,I am sexually adventurous.,7.1,6.9,1.8,9.7,Aspect #4,seeking,2,2,0.8307632778221142,-1.0994420270543181,1.238681989150029,0.8870967741935484,5.4,2.8499999999999996,5.6,5.95,1,4,-3,-1
puotio2nku,1,-2,asp_judg,rev,39,male,12,employed,2k_3k,correct,correct,100,100,1,gen,2,the first reason is because i dislike uncertainty,0,1,0,0,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,0,0,0,1,-2,-2,-2,-1
p84keati5e,1,-4,judg_asp,std,49,female,12,employed,1k_2k,correct,correct,100,100,1,gen,1,Fear of getting hurt.,0.1,0.4,0,1,Aspect #1,avoiding,0,3,1.1547005383792515,NaN,0.5773502691896252,-0.13245323570650427,0,0,1,0.4,-3.6666666666666665,-2,-5,-1
p84keati5e,2,-5,judg_asp,std,49,female,12,employed,1k_2k,correct,correct,100,100,1,gen,1,Fear of losing money,0,0.7,0,0.8,Aspect #2,avoiding,0,3,-0.5773502691896256,NaN,-1.154700538379252,1.0596258856520353,0,0,1,0.4,-3.6666666666666665,-2,-5,-1
p84keati5e,3,-2,judg_asp,std,49,female,12,employed,1k_2k,correct,correct,100,100,1,gen,1,Some things just scare me.,0,0.2,0,1,Aspect #3,avoiding,0,3,-0.5773502691896256,NaN,0.5773502691896252,-0.9271726499455306,0,0,1,0.4,-3.6666666666666665,-2,-5,-1
p41oipmpg5,1,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,Family,0,10,10,10,Aspect #1,avoiding,2,6,-0.5647756792318211,0.7938679783324328,1.2214347024985992,1.0360676875229407,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,2,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,money,10,2.5,8.1,0,Aspect #2,seeking,2,6,1.6179322598283572,0.21925877496800525,-0.8185397484385185,-0.8195759319211321,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,3,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,obligations,0,8.8,10,2.6,Aspect #3,avoiding,2,6,-0.5647756792318211,0.7938679783324328,-0.2881463911948679,0.739164708411889,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,4,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,time,0.7,9,6.6,9.5,Aspect #4,avoiding,2,6,-0.41198612349760866,-0.23438006979338494,1.1194359799517433,0.7886485382637309,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,5,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,embarassment,0,2.5,7.5,0,Aspect #5,avoiding,2,6,-0.5647756792318211,0.03780323706344918,-0.8185397484385185,-0.8195759319211321,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,6,2,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,reward,0,10,10,10,Aspect #6+,avoiding,2,6,-0.5647756792318211,0.7938679783324328,1.2214347024985992,1.0360676875229407,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,7,NA,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,consequences,0,0,6.8,0,Aspect #6+,avoiding,2,6,-0.5647756792318211,-0.17389489049186624,-0.8185397484385185,-1.4381238050691563,0,7.8,1.3,6.25,2,2,2,-0.125
p41oipmpg5,8,2,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1,gen,3,worth,10,3.7,0,0,Aspect #6+,seeking,2,6,1.6179322598283572,-2.230390986743502,-0.8185397484385185,-0.5226729528100805,0,7.8,1.3,6.25,2,2,2,-0.125
p1p93m6a4h,1,NA,judg_asp,std,27,female,13,employed,2k_3k,correct,wrong,99,97,1,gen,10,I want to try everything once,8.7,3.5,1.5,8.7,Aspect #1,seeking,2,0,NaN,NaN,NaN,NaN,8.7,1.5,8.7,3.5,NaN,-Inf,Inf,1
p1p93m6a4h,2,NA,judg_asp,std,27,female,13,employed,2k_3k,correct,wrong,99,97,1,gen,10,Nothing,8.7,3.5,1.5,8.7,Aspect #2,seeking,2,0,NaN,NaN,NaN,NaN,8.7,1.5,8.7,3.5,NaN,-Inf,Inf,1
pf495sukik,1,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I like new challenges,8.9,0.9,0.9,10,Aspect #1,seeking,3,4,1.0249321441480785,1.507556722888818,0.88914243879375,-0.21762497897779642,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,2,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I have two children,0,10,0.3,10,Aspect #2,avoiding,3,4,-0.8868424840083673,-0.30151134457776363,0.88914243879375,2.257859156894638,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,3,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I like new experiences,0.5,0.5,0.6,1.2,Aspect #3,avoiding,3,4,-0.7794394150108142,0.6030226891555273,-1.1469606924216773,-0.32643746846669464,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,4,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I have a lot of responsibility,0.6,0,0.4,2.3,Aspect #4,avoiding,3,4,-0.7579588012113035,0,-0.892447801019749,-0.4624530803278174,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,5,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I have bucket list of things I want to try,9.2,0,0,9.2,Aspect #5,seeking,3,4,1.0893739855466105,-1.2060453783110545,0.704042154137802,-0.4624530803278174,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,6,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,I'm getting older,0.5,0.5,0.6,1.2,Aspect #6+,avoiding,3,4,-0.7794394150108142,0.6030226891555273,-1.1469606924216773,-0.32643746846669464,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pf495sukik,7,NA,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1,gen,5,Breaking something would really deter my life,9.2,0,0,9.2,Aspect #6+,seeking,3,4,1.0893739855466105,-1.2060453783110545,0.704042154137802,-0.4624530803278174,0.6,0.4,9.2,0.5,NaN,-Inf,Inf,-0.42857142857142855
pe7261avug,1,-2,asp_judg,std,33,male,6,employed,5k_x,correct,correct,64,85,1,gen,7,do i take risks?,8.2,4.3,6.8,3.4,Aspect #1,seeking,3,0,1.1305390791153367,0.4555223560123494,-0.4677675811188185,-0.2574991624721984,6,6.8,3.4,4.3,-0.6666666666666666,2,-2,1
pe7261avug,2,-2,asp_judg,std,33,male,6,employed,5k_x,correct,correct,64,85,1,gen,7,what risks i have taken till now.,6,2.7,7.3,2.9,Aspect #2,seeking,3,0,-0.36177250531690736,0.691137367742875,-0.6803892089000997,-0.8460686766943661,6,6.8,3.4,4.3,-0.6666666666666666,2,-2,1
pe7261avug,3,2,asp_judg,std,33,male,6,employed,5k_x,correct,correct,64,85,1,gen,7,am i brave enough,5.4,8,3.4,7.2,Aspect #3,seeking,3,0,-0.7687665737984285,-1.1466597237552247,1.1481567900189182,1.1035678391665646,6,6.8,3.4,4.3,-0.6666666666666666,2,-2,1
p1g73h9h1g,1,-1,asp_judg,rev,52,female,18,employed,3k_4k,correct,correct,100,91,1,gen,2,I tend to be cautious.,0.7,3,0,0,Aspect #1,avoiding,0,3,0.9491579957524989,NaN,NaN,0.25031308716087963,0.4,0,0,3,-1.6666666666666667,0,-4,-1
p1g73h9h1g,2,-4,asp_judg,rev,52,female,18,employed,3k_4k,correct,correct,100,91,1,gen,2,"I cannot afford the downside of the consideration, so I don't take the risk.",0,2.1,0,0,Aspect #2,avoiding,0,3,-1.0440737953277488,NaN,NaN,-1.1013775835078694,0.4,0,0,3,-1.6666666666666667,0,-4,-1
p1g73h9h1g,3,0,asp_judg,rev,52,female,18,employed,3k_4k,correct,correct,100,91,1,gen,2,"Most of the time, risks are not worth the potential cost.",0.4,3.4,0,0,Aspect #3,avoiding,0,3,0.09491579957524994,NaN,NaN,0.8510644963469903,0.4,0,0,3,-1.6666666666666667,0,-4,-1
pr3fgsmfld,1,-2,judg_asp,std,66,female,16,employed,4k_5k,correct,correct,93,90,1,gen,3,afraid of consequences,1.2,8.7,1.3,8.9,Aspect #1,avoiding,0,2,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,0.7071067811865475,1.35,1.4500000000000002,8.5,5.449999999999999,-2,-2,-2,-1
pr3fgsmfld,2,NA,judg_asp,std,66,female,16,employed,4k_5k,correct,correct,93,90,1,gen,3,don't want to lose,1.5,2.2,1.6,8.1,Aspect #2,avoiding,0,2,0.7071067811865476,0.7071067811865476,-0.7071067811865475,-0.7071067811865475,1.35,1.4500000000000002,8.5,5.449999999999999,-2,-2,-2,-1
prl66vp7gm,1,1,judg_asp,rev,60,female,13,employed,1k_2k,correct,correct,100,100,1,gen,4,I tend to prefer to be safe....not pick risky things,0,2.3,0,2.9,Aspect #1,avoiding,1,3,-0.8707938982137378,-1.4327284836176302,-0.22748873116140444,-0.05297785203887382,2.65,7.65,2.75,1.45,0,1,-2,-1
prl66vp7gm,2,-2,judg_asp,rev,60,female,13,employed,1k_2k,correct,correct,100,100,1,gen,4,i am a fearful person,4.7,6.5,10,2.6,Aspect #2,avoiding,1,3,0.31550503558468757,0.832454889690876,-0.29748526382645196,1.4304020050495931,2.65,7.65,2.75,1.45,0,1,-2,-1
prl66vp7gm,3,NA,judg_asp,rev,60,female,13,employed,1k_2k,correct,correct,100,100,1,gen,4,I don't jump out of planes or bungee jump,0.6,0.4,8.5,0,Aspect #3,avoiding,1,3,-0.7193514811330877,0.49267738369460007,-0.9041218802568639,-0.7240306445312755,2.65,7.65,2.75,1.45,0,1,-2,-1
prl66vp7gm,4,1,judg_asp,rev,60,female,13,employed,1k_2k,correct,correct,100,100,1,gen,4,"I prefer to invest in \""safe\"" stocks",8.5,0.6,6.8,10,Aspect #4,seeking,1,3,1.2746403437621379,0.10759621023215404,1.4290958752447203,-0.6533935084794438,2.65,7.65,2.75,1.45,0,1,-2,-1
puaekd90jg,1,-4,asp_judg,rev,39,male,14,employed,5k_x,correct,correct,100,100,1,gen,1,I dont like negative outcomes from taking risks.,0,7.9,0,7.9,Aspect #1,avoiding,0,3,NaN,NaN,-0.9271726499455316,-1.1547005383792535,0,0,8.3,8.3,-3.6666666666666665,-3,-4,-1
puaekd90jg,2,-3,asp_judg,rev,39,male,14,employed,5k_x,correct,correct,100,100,1,gen,1,I do not like being unsure of an outcome to take risks.,0,8.3,0,8.9,Aspect #2,avoiding,0,3,NaN,NaN,1.0596258856520342,0.5773502691896236,0,0,8.3,8.3,-3.6666666666666665,-3,-4,-1
puaekd90jg,3,-4,asp_judg,rev,39,male,14,employed,5k_x,correct,correct,100,100,1,gen,1,I believe that what can go wrong will go wrong.,0,8.3,0,8.3,Aspect #3,avoiding,0,3,NaN,NaN,-0.13245323570650533,0.5773502691896236,0,0,8.3,8.3,-3.6666666666666665,-3,-4,-1
p5ndghkbin,1,NA,judg_asp,std,57,male,16,employed,1k_2k,correct,correct,100,100,1,gen,3,can not afford to lose,2,4.4,0.2,1.5,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,2,0.2,1.5,4.4,NaN,-Inf,Inf,-1
pb1v2d5lmd,1,NA,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1,gen,7,Can I physically do it,0.5,8.2,8.2,8,Aspect #1,avoiding,2,3,-0.6870729486898756,0.782415828787603,0.22835735484533173,1.7668324422785602,0.6,6.9,8,1,1,4,-2,0.6
pb1v2d5lmd,2,4,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1,gen,7,Will it be fun,9.3,1.8,8.7,10,Aspect #2,seeking,2,3,1.3283410341337594,0.9039089699036903,0.8138890339359262,-0.18952181906794244,0.6,6.9,8,1,1,4,-2,0.6
pb1v2d5lmd,3,NA,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1,gen,7,Will I get more from it than I give,7.1,1,1.1,8.9,Aspect #3,seeking,2,3,0.8244875384278507,-0.9427867750608382,0.49184661043609923,-0.43406610173625526,0.6,6.9,8,1,1,4,-2,0.6
pb1v2d5lmd,4,NA,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1,gen,7,"Well unless its gambling, that I don't do much of.",0,0.5,0,7.9,Aspect #4,avoiding,2,3,-0.8015851068048548,-1.2100716855162306,0.199080770890802,-0.5869062784039508,0.6,6.9,8,1,1,4,-2,0.6
pb1v2d5lmd,5,-2,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1,gen,7,I am getting to old for to much risk,0.6,0.6,6.9,1.3,Aspect #5,avoiding,2,3,-0.6641705170668797,0.4665336618857757,-1.7331737701081595,-0.5563382430704117,0.6,6.9,8,1,1,4,-2,0.6
ppa2om583b,1,1,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I prefer to select safe choices,0,9.5,0,9.4,Aspect #1,avoiding,0,6,-0.6454972243679028,-0.40824829046386296,0.6388362730800083,1.3560930466544052,0,0,8.3,3.2,-1.6,1,-3,-1
ppa2om583b,2,-3,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I don't like loss,0,3.3,0,9.9,Aspect #2,avoiding,0,6,-0.6454972243679028,-0.40824829046386296,0.7959271599029613,-0.37746919855328803,0,0,8.3,3.2,-1.6,1,-3,-1
ppa2om583b,3,-2,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I don't like to be embarrassed if a risky choice doesn't work out,0.3,2.6,5.8,1.8,Aspect #3,avoiding,0,6,1.2909944487358056,2.0412414523193148,-1.7489452066288758,-0.5731939681735115,0,0,8.3,3.2,-1.6,1,-3,-1
ppa2om583b,4,NA,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I would rather have something even if it is smaller than lose everything,0,8.7,0,10,Aspect #4,avoiding,0,6,-0.6454972243679028,-0.40824829046386296,0.8273453372675519,1.1324075956598643,0,0,8.3,3.2,-1.6,1,-3,-1
ppa2om583b,5,-2,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I am fearful I will lose everything,0,0.7,0,5.9,Aspect #5,avoiding,0,6,-0.6454972243679028,-0.40824829046386296,-0.460799934680662,-1.1044469142855466,0,0,8.3,3.2,-1.6,1,-3,-1
ppa2om583b,6,-2,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1,gen,1,I don't want to feel greedy,0.3,3.1,0,7.2,Aspect #6+,avoiding,0,6,1.2909944487358056,-0.40824829046386296,-0.05236362894098445,-0.4333905613019233,0,0,8.3,3.2,-1.6,1,-3,-1
p4qbqqsu1g,1,NA,judg_asp,std,46,female,16,employed,4k_5k,correct,correct,98,71,1,gen,3,only myself to be concerned with,3.6,7.8,1.9,3.6,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,3.6,1.9,3.6,7.8,NaN,-Inf,Inf,-1
pvcn4ugpbp,1,-1,judg_asp,rev,47,female,12,unemployed,1k_2k,correct,correct,91,79,1,gen,4,want to avoid let-downs,7.7,5.7,2.8,6.7,Aspect #1,seeking,4,0,0.9338145262192008,0.14638501094227999,0.701357850179277,0.819311124196446,7.2,2.75,5.75,4.8,-1.75,-1,-2,1
pvcn4ugpbp,2,-2,judg_asp,rev,47,female,12,unemployed,1k_2k,correct,correct,91,79,1,gen,4,don't want to get hurt in the end,7.2,5.8,3,7.1,Aspect #2,seeking,4,0,0.24210006235312612,1.3174650984805198,1.0130724502589556,0.9103456935516067,7.2,2.75,5.75,4.8,-1.75,-1,-2,1
pvcn4ugpbp,3,-2,judg_asp,rev,47,female,12,unemployed,1k_2k,correct,correct,91,79,1,gen,4,fear,7.2,3.8,2.6,4.6,Aspect #3,seeking,4,0,0.24210006235312612,-1.02469507659596,-0.935143800239036,-0.9103456935516067,7.2,2.75,5.75,4.8,-1.75,-1,-2,1
pvcn4ugpbp,4,-2,judg_asp,rev,47,female,12,unemployed,1k_2k,correct,correct,91,79,1,gen,4,anxiety,6,3.9,2.7,4.8,Aspect #4,seeking,4,0,-1.418014650925453,-0.43915503282683993,-0.7792865001991967,-0.819311124196446,7.2,2.75,5.75,4.8,-1.75,-1,-2,1
pdtifg9hlc,1,NA,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1,gen,2,Not enough money in savings to do anything risky,0,10,0,6.6,Aspect #1,avoiding,0,5,-0.7302967433402214,-0.44721359549995793,-0.9443987237253018,1.0842633383686884,0,0,7.9,8,-0.5,1,-2,-1
pdtifg9hlc,2,1,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1,gen,2,Happy where I'm at so no need to risk it,0,8,0,8.1,Aspect #2,avoiding,0,5,-0.7302967433402214,-0.44721359549995793,0.16231853064028648,0.2437491225790074,0,0,7.9,8,-0.5,1,-2,-1
pdtifg9hlc,3,-2,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1,gen,2,Risk causes stress which I don't want,1.4,8.4,0,7.9,Aspect #3,avoiding,0,5,1.0954451150103324,-0.44721359549995793,0.014756230058208053,0.4118519657369436,0,0,7.9,8,-0.5,1,-2,-1
pdtifg9hlc,4,-2,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1,gen,2,Risk requires administration and more work,0,3.6,0,10,Aspect #4,avoiding,0,5,-0.7302967433402214,-0.44721359549995793,1.5641603861700317,-1.605382152158291,0,0,7.9,8,-0.5,1,-2,-1
pdtifg9hlc,5,1,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1,gen,2,I pretty much have all I need,1.4,7.1,1.9,6.8,Aspect #5,avoiding,0,5,1.0954451150103324,1.7888543819998317,-0.7968364231432233,-0.1344822745263491,0,0,7.9,8,-0.5,1,-2,-1
pi58f51pmu,1,2,judg_asp,std,28,male,16,selfemployed,2k_3k,correct,correct,100,80,1,gen,8,"I do enjoy taking risks, because that's how you move forward in life and get big rewards",9.5,7.6,8.6,9.6,Aspect #1,seeking,2,0,0.7071067811865475,-0.7071067811865476,-0.7071067811865475,0.7071067811865475,8.7,8.75,9.649999999999999,7.4,0,2,-2,1
pi58f51pmu,2,-2,judg_asp,std,28,male,16,selfemployed,2k_3k,correct,correct,100,80,1,gen,8,Calculated risks are the best way to move forward in life,7.9,7.2,8.9,9.7,Aspect #2,seeking,2,0,-0.7071067811865475,0.7071067811865476,0.7071067811865475,-0.7071067811865475,8.7,8.75,9.649999999999999,7.4,0,2,-2,1
