id,"ratid","annot","ts_id","session",start,end,duration,"age","sex","yearsofedu","job","imcscreening","imc1","imc2","imc3","imc4","imc5","imc6","imc7","feedback",done,N_ratings,N_aspects,imc_counter,break_start,"break_status","qual_focused","qual_effort",do_imc,screening_ok,first,rating_group
1,"rf0hnt7d3p","rsr_sim1",NULL,"ahcnqr26ub55d192no8rjbg004",1558706578,1558710110,2708,"54","female","8","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,205,4286,0,0,"none","100","98",1,1,0,1
2,"riojce7et9","rsr_sim1",NULL,"uu3bi7khqaan01tfv95sim58l6",1558967547,NULL,NULL,"24","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,2
3,"rs9u887cf7","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"30","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,3
4,"r12rqblbpp","rsr_sim1",NULL,"pi24qnsln4epodlcrrm3e7n721",1558774004,1558776166,2162,"34","male","18","employed","correct","correct","correct","correct","correct","correct","correct","correct","No issue.",1,204,4286,0,0,"none","100","100",1,1,0,4
5,"rfn0nuna9e","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"29","male","15","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,5
6,"r0ijl6g8tc","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"25","male","16","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
7,"r9rhsgcbn1","rsr_sim1",NULL,"tsq0iuda9hd0rv35htfj8omd80",1558705120,1558708133,3013,"36","female","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","100",1,1,0,7
8,"relb5ncfn4","rsr_sim1",NULL,"j2bgd98h2jqk4qdg8cme5pbec3",1558710132,NULL,NULL,"35","male","12","selfemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,6
9,"rm1eqfpt9g","rsr_sim1",NULL,"pba5re1jaskntn8ih3oick09q0",1558960012,1559007277,894,"46","male","12","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","No issues with the survey.  The questions became rather redundant but nothing worse than any other survey",1,204,4286,3,0,"none","93","94",1,1,0,7
10,"rqebb48g5n","rsr_sim1",NULL,"0oqlu88b7j1bno51f1td0d9ec3",1558712065,1558784165,1036,"37","male","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,2,0,"none","91","100",1,1,0,8
11,"rfafrj6su0","rsr_sim1",NULL,"fthfoi2ut24c3vv6h4ehip9ft2",1558946735,1558970634,1821,"27","female","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","task was long, the form was a bit slow for each entry",1,204,4286,0,0,"none","98","97",1,1,0,9
12,"rdsq1vr1aa","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"28","female","14","student","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
13,"r86tqj19v5","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"29","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,10
14,"rhkqhug3uv","rsr_sim1",NULL,"9qveub7ma8uejnubabtdqkmuo7",1558709070,1558751323,1091,"37","female","12","unemployed","correct","correct","correct","correct","correct","correct",NULL,"correct","",1,205,4286,3,0,"none","82","92",1,1,0,11
15,"r564qju4jk","rsr_sim1",NULL,"ludkjlp4pu7up9pq6osdoolh55",1558964375,1558967243,2868,"32","female","21","employed","correct","correct","correct","correct","correct","wrong","correct","correct","I sometimes rated seemingly similar pairs differently and I&#039;m not sure why. It wasn&#039;t a mistake or that I wasn&#039;t paying attention, it&#039;s just that sometimes things about risks with money/sex/sports felt similar to me and sometimes they didn&#039;t. I don&#039;t have an explanation for why it was different at different times other than it just felt different. I didn&#039;t want you to read my results and think I was messing around or not paying attention, I just genuinely felt different about the pairings at different times and my answers will reflect that. Also, have a great day!",1,204,4286,0,0,"none","100","100",1,1,0,12
16,"ro291g1f5j","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"28","male","14","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,13
17,"r9n699vvsl","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"28","male","16","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
18,"rtkifteckh","rsr_sim1",NULL,"1dvglg4r13k7k6eqq6sanj3id2",1558943280,1558948161,4881,"29","female","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","The study was a little bit confusing.",1,204,4286,0,0,"none","89","94",1,1,0,14
19,"rhkvfalfh2","rsr_sim1",NULL,"nfspk0r8em69l3o503kjpaibi0",1558722450,1558724174,1558724174,"27","male","12","employed","correct","correct","correct","correct","correct","correct","correct","correct","everything was clear.",1,204,4286,0,0,"none","100","100",1,1,0,15
20,"r0amkg2fdv","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"41","female","17","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
21,"r44kf7qvib","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"51","male","14","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
22,"rtn6ake5sp","rsr_sim1",NULL,"o1f3h8msjb9mb0gu0pgr9ee0i5",1558736254,1558742574,6320,"37","female","15","unemployed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","87","100",1,1,0,16
23,"r4divd6vu3","rsr_sim1",NULL,"nher70c3ohidvis8akg5ek7152",1558726110,1558805241,4536,"30","male","17","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","98",1,1,0,17
24,"r769p476k0","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"33","male","12","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,18
25,"rd2d417kmv","rsr_sim1",NULL,"mr5nqrvvfhpdb4hqehtj00kfa3",1558718843,1558803086,338,"32","male","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","Everything worked fine.
It is quite long and repetitive. I think a little higher pay would be welcome for the time and effort required.
Thanks.",1,204,4286,6,0,"none","100","84",1,1,0,19
26,"rjtu699kbp","rsr_sim1",NULL,"bvk05t1g3kuv3fjc2ql2jule26",1558968610,NULL,NULL,"32","male","17","employed","correct","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,1,0,"none",NULL,NULL,1,0,0,20
27,"rdiem6g7nm","rsr_sim1",NULL,"1v02qd98pifmn9scqoksqu4k62",1558814213,1558820524,451,"29","male","20","employed","correct","correct","wrong","correct","correct","wrong","correct","correct","",1,204,4286,5,0,"none","18","100",1,1,0,21
28,"r13pg11l5t","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"30","male","14","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
29,"rj0oahu03i","rsr_sim1",NULL,"fekchr3e14bisqtj58a5p04e47",1558717712,1558718550,838,"27","male","15","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,205,4286,0,0,"none","100","91",1,1,0,1
30,"r2kuoe9ckq","rsr_sim1",NULL,"l3tcji60q5b4r7pmdkg90c41p0",1558719825,1558731634,11809,"34","female","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","There were quite a few typos. Thanks for letting me participate.",1,204,4286,0,0,"none","100","100",1,1,0,2
31,"rd6lvcc26d","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"24","female","13","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,3
32,"r8vgptofe0","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"35","male","12","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,4
33,"rr31q7h1kl","rsr_sim1",NULL,"j2pjsq3hn5rj4tnpj0kip91f74",1558942842,1558944133,1291,"29","female","18","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","100",1,1,0,5
34,"rm2atd7171","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"33","male","12","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,6
35,"rm2atd7171","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"33","male","12","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,6
36,"r0gh7tg5uv","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"24","female","20","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
37,"r0fh85qoek","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"24","female","20","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,7
38,"rocb9gr939","rsr_sim1",NULL,"ssqn28q0l7tl9t3l872j5o01m7",1558815095,1558817570,2475,"31","female","14","unemployed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","84","82",1,1,0,8
39,"rebdvuke4n","rsr_sim1",NULL,"htvitv792kltedsjpn7vsecui0",1558726992,1558836499,610,"39","male","19","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","I rather liked being able to split up my time working on the hit. I would have found it helpful to have a few examples just to set the scale, this would have been especially helpful when I first started the ratings.",1,204,4286,5,0,"none","100","100",1,1,0,9
40,"r09elg3581","rsr_sim1",NULL,"8abi1phutujp06ke1svf1m2ob7",1558732107,NULL,NULL,"51","female","14","selfemployed","correct","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,1,0,"none",NULL,NULL,1,0,0,10
41,"ro4poa9u61","rsr_sim1",NULL,"j8h3kncbaht1rjmndchg3v4li3",1558783462,1558813836,485,"35","male","12","unemployed","correct","correct","correct","correct","correct","correct","correct","correct","Not sure",1,205,4286,6,0,"none","70","78",1,1,0,11
42,"rrmjjjhf0i","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"26","male","12","selfemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
43,"r3nqd6mq9c","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"33","female","13","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
44,"rier4i034n","rsr_sim1",NULL,"t4bsc4j08arjbbd0vpghlka531",1558823721,1558825498,1777,"29","male","12","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","100",1,1,0,12
45,"r23daqrhms","rsr_sim1",NULL,"sfjh4ghi4rbccagn2re21cfbl4",1558839561,NULL,NULL,"38","female","22","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,13
46,"r0j4r8jamo","rsr_sim1",NULL,"94e0e8k8el8as9ilub6srceu47",1558724288,NULL,NULL,"36","male","18","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,14
47,"r5o3oi3ovd","rsr_sim1",NULL,"9prat1880i59vhrpdbai5ofr91",1558909995,1558913412,517,"30","female","15","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","n/a",1,204,4286,4,0,"none","100","100",1,1,0,15
48,"rc45doj50c","rsr_sim1",NULL,"hb9cl30teqpi1njioamp005vt5",1558731091,1558832445,1632,"52","female","12","employed","correct","correct","correct","correct","correct","correct","correct","correct","No issues, Thank you!",1,204,4286,3,0,"none","100","100",1,1,0,16
49,"rh1asad9c4","rsr_sim1",NULL,"k5f0opn86qis3pcubu36kffq72",1558724690,1558726439,1749,"52","male","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","Nothing unclear. Thanks.",1,204,4286,0,0,"none","89","100",1,1,0,17
50,"r4a432bc8p","rsr_sim1",NULL,"u585t460qqnbtpanl6plt18q52",1558794708,1558797749,3041,"33","male","16","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","The white background was annoying on the eyes given the length of the study. Details on rating guidelines might help there be less uncertainty in ratings.",1,204,4286,0,0,"none","100","100",1,1,0,18
51,"roe6886be1","rsr_sim1",NULL,"3u4kh0mha807sip6fckaqas8l0",1558732450,1558735555,3105,"32","male","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","None",1,204,4286,0,0,"none","94","94",1,1,0,19
52,"rgg90c4r1c","rsr_sim1",NULL,"5ssjg6n631781kquhd2le7kci3",1558726867,1558737424,10557,"26","male","12","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","N/A, all good. Thanks for the working counter at the top. Some people don&#039;t do that and it feels nightmarish.",1,204,4286,0,0,"none","100","100",1,1,0,20
53,"roaoq2e09l","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"24","female","12","selfemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,21
54,"rbesk9n326","rsr_sim1",NULL,"99acmq2k4ubb1qc6ebl95ecv27",1558725298,1558729780,4482,"27","female","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,205,4286,0,0,"none","97","98",1,1,0,1
55,"r51oggt0cq","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"29","male","16","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
56,"rmv4tqfvr9","rsr_sim1",NULL,"06eucqmdn2t5trth0e0pvhair6",1558735526,1558747790,834,"22","male","17","employed","correct","correct","correct","correct","correct","correct","correct","correct","I think more topics would be nice. Everything being about risk got pretty boring after a while.",1,204,4286,5,0,"none","98","99",1,1,0,2
57,"r3og1f7tb8","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"30","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
58,"r568ulumut","rsr_sim1",NULL,"ndv04dbi7lk5n8028730c43d73",1558790482,1558793877,3395,"42","male","12","unemployed","correct","correct","correct","correct","correct","correct","correct","correct","Perhaps just my cynicism from my experience working on the Mturk platform, but that seemed like more than 200 statements and although I didn&#039;t check the clock, longer than 30 minutes.",1,204,4286,0,0,"none","93","100",1,1,0,3
