partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,duration
phgd1fotld,27,male,1,0,1,-1,-1,-50,-50,NaN,0,0,NA,NaN,-2,-2,-2,-1,1,16,employed,3k_4k,1,147
phnc8t6ol9,28,female,1,0,8,-8,-1,-48,-384,0.25,0,0.75,3,0.75,-0.75,-3,2,-1,8,16,employed,5k_x,8,524
php3113cce,34,male,4,0,5,-5,-1,-19.4,-97,0.2,0.2,0.6,1,0.6,-1.6,-3,-1,-1,5,16,selfemployed,0_1k,5,370
phtukonc17,41,male,7,1,0,1,1,23,23,1,0,0,2,1,-1,-1,-1,1,1,18,employed,3k_4k,1,118
phvr676g54,66,male,1,1,2,-1,-0.3333333333333333,-18.666666666666668,-56,1,0,0,3,0,0.3333333333333333,-1,1,1,3,12,selfemployed,2k_3k,3,408
pi2gguep6a,70,female,0,0,6,-6,-1,-43.333333333333336,-260,0.6666666666666666,0.3333333333333333,0.8333333333333334,3,0.6666666666666666,-1.5,-4,1,-1,6,14,retired,5k_x,6,1078
pi3g5e91tk,29,female,2,0,4,-4,-1,-43.25,-173,0.25,0.25,0.25,6,0.25,-1.5,-2,-1,-1,4,16,unemployed,0_1k,4,291
pieg7b7s35,24,female,6,2,2,0,0,4.25,17,0.25,0,0.5,4,0.25,-1.25,-2,0,0.5,4,17,employed,2k_3k,4,270
piheliu2iq,46,female,7,1,0,1,1,7,7,1,0,0,1,0,0,0,0,1,1,16,employed,1k_2k,1,143
piokq0dfpr,50,female,7,3,1,2,0.5,18.5,74,1,0.5,0.5,4,1,-0.75,-2,0,-1,4,13,employed,1k_2k,4,374
pj0s9l55ia,27,female,2,0,2,-2,-1,-28.5,-57,1,0,0,3,1,1,1,1,-1,2,17,selfemployed,1k_2k,2,185
pjaipfg4ug,23,female,9,4,0,4,1,45.5,182,1,0,0,3,1,-0.75,-2,0,1,4,13,unemployed,0_1k,4,387
pjbuj9okvi,25,female,7,4,0,4,1,22.75,91,0.75,0,0.25,3,1,0.25,-1,2,1,4,17,employed,2k_3k,4,339
pjiokntims,52,female,3,1,9,-8,-0.8,-33.5,-335,0.6,0.1,1,3,1,-0.75,-3,1,0.2,10,18,employed,5k_x,10,579
pjkmi6p483,25,male,7,1,1,0,0,-3,-6,1,0,0.5,2,1,-1.5,-3,0,1,2,16,employed,5k_x,2,368
pjmfaicge9,42,male,0,0,1,-1,-1,-50,-50,1,NaN,NaN,NA,1,0,0,0,-1,1,12,employed,5k_x,1,393
pjnmqtljgr,18,male,9,4,0,4,1,36.25,145,1,0.25,0.25,2.5,1,-1.75,-3,-1,1,4,13,student,1k_2k,4,168
pjqfr36tuv,58,female,6,1,2,-1,-0.3333333333333333,-7,-21,0.6666666666666666,0,0.6666666666666666,3,1,-0.3333333333333333,-2,1,0,3,14,employed,1k_2k,3,394
pk1i57og54,27,male,1,0,3,-3,-1,-37,-111,0.6666666666666666,0,0.5,2.5,1,-1.3333333333333333,-3,0,-1,3,14,employed,2k_3k,3,431
pkgv8c3h3j,35,male,1,0,2,-2,-1,-50,-100,0,0,0,2,0.5,-1.5,-2,-1,-1,2,16,employed,3k_4k,2,158
pkiuh7rqvu,59,male,3,2,3,-1,-0.2,-18.6,-93,0.8,0.8,1,2.5,1,-1,-2,0,-1,5,15,employed,3k_4k,5,475
pkovd8l667,34,female,3,1,1,0,0,-7,-14,0,0,0,2,NaN,-2,-2,-2,-1,2,14,employed,1k_2k,2,253
pkpenn3v42,34,female,2,1,2,-1,-0.3333333333333333,-21.333333333333332,-64,0,0,0.3333333333333333,4,0.6666666666666666,-2,-3,-1,-1,3,16,selfemployed,0_1k,3,232
pkqi59lujp,31,female,8,2,0,2,1,15,30,0,0,0,3,1,-0.5,-2,1,1,2,14,selfemployed,0_1k,2,204
pkqk16c93v,29,female,1,0,2,-2,-1,-48,-96,0,0,1,1,0.5,-2,-3,-1,-1,2,13,employed,1k_2k,2,211
pksurk0hbb,33,male,2,0,2,-2,-1,-44,-88,0.5,0,0,3,0.5,-1,-2,0,-1,2,14,employed,1k_2k,2,443
pl1gu9l8m3,27,female,1,0,3,-3,-1,-42,-126,NaN,0,0,1,0.3333333333333333,-1,-2,0,-1,3,14,employed,2k_3k,3,339
pl1jjs135f,22,male,8,2,0,2,1,37.5,75,NaN,0,1,5.5,0,-1,-1,-1,1,2,16,employed,0_1k,2,649
pl40upe2b5,25,female,7,3,0,3,1,28.666666666666668,86,NaN,0,0,3,1,1,0,2,1,3,16,employed,2k_3k,3,192
plgsronuv4,22,male,2,0,3,-3,-1,-46.666666666666664,-140,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,-0.3333333333333333,-1,1,-1,3,12,employed,1k_2k,3,380
plm290dpup,36,female,6,4,0,4,1,28,112,0.75,0.5,1,4,1,-0.25,-1,0,1,4,19,employed,3k_4k,4,242
pm42618oco,27,female,4,0,5,-5,-1,-41.6,-208,0,0,0.6,3,0.6,-1.6,-3,-1,-1,5,16,selfemployed,0_1k,5,224
pm4s2hpf4p,25,male,2,0,5,-5,-1,-40.6,-203,0.4,0,0.2,2,1,-2.2,-3,-1,-1,5,14,employed,0_1k,5,497
pm704fj6e7,25,male,1,0,2,-2,-1,-47.5,-95,1,0.5,1,1.5,0.5,-2,-2,-2,-1,2,18,employed,1k_2k,2,426
pmaoctfpvq,25,male,7,4,0,4,1,22.5,90,1,0,1,3,0.5,0,0,0,1,4,20,employed,4k_5k,4,285
pmchgjmkej,39,male,6,0,1,-1,-1,-8,-8,1,0,1,2,1,0,0,0,-1,1,16,employed,2k_3k,1,161
pmjahfv0dm,25,male,8,4,0,4,1,31.75,127,0.75,0.3333333333333333,1,3.5,1,-1,-1,-1,1,4,16,selfemployed,0_1k,4,302
pmvrhv1aph,62,female,0,0,2,-2,-1,-50,-100,0,0,0,1,0,-1,-1,-1,-1,2,16,employed,1k_2k,2,303
pn1lf5g7qc,47,male,8,4,0,4,1,30,120,0.25,0,0.75,4.5,1,-1.6666666666666667,-2,-1,1,4,29,unemployed,0_1k,4,538
pn73cj70pg,63,male,1,0,3,-3,-1,-43,-129,1,0,0,2,0,-2.3333333333333335,-4,0,-1,3,16,retired,2k_3k,3,536
pn9dto7d9f,30,male,6,1,1,0,0,-13.5,-27,1,0.5,0.5,1.5,1,-2,-2,-2,-1,2,20,employed,4k_5k,2,311
pncjb3oc9h,24,male,5,1,0,1,1,5,5,NaN,0,0,NA,NaN,0,0,0,1,1,13,employed,0_1k,1,252
pncnv2dom0,60,male,8,5,0,5,1,47,235,1,0.4,1,5,1,-0.6,-1,0,1,5,14,employed,2k_3k,5,615
pncs0ht0r2,26,male,0,0,4,-4,-1,-50,-200,1,1,1,3,1,-1.25,-2,0,-1,4,16,employed,2k_3k,4,184
pns0bk5bpg,45,female,6,1,0,1,1,12,12,0,0,0,3,1,-1,-1,-1,1,1,17,employed,2k_3k,1,177
pnu8ljve5b,70,male,3,0,3,-3,-1,-36.666666666666664,-110,NaN,0,0.3333333333333333,NA,0.6666666666666666,0.3333333333333333,0,1,-1,3,15,retired,2k_3k,3,504
po0b5hvksl,32,female,8,5,0,5,1,28.2,141,1,0,1,3,0.8,-0.75,-1,0,1,5,18,employed,1k_2k,5,209
po1ihq75ko,45,female,7,2,1,1,0.3333333333333333,8.333333333333334,25,0.6666666666666666,0,0.6666666666666666,3,0.6666666666666666,-1,-2,0,-1,3,14,employed,1k_2k,3,223
po20cce0oc,38,female,1,0,4,-4,-1,-50,-200,1,0,0,2.5,0,-1.75,-2,-1,-1,4,14,unemployed,1k_2k,4,360
po2avet7op,38,female,7,0,2,-2,-1,-26.5,-53,0,0,1,1,1,-2,-2,-2,-1,2,14,employed,2k_3k,2,500
po45u0nri5,68,female,4,0,2,-2,-1,-17.5,-35,0.5,0.5,0,1,0.5,-1,-1,-1,-1,2,16,retired,4k_5k,2,378
po59r3bl5f,56,male,2,0,5,-5,-1,-31.2,-156,0.2,0,1,3,0.2,-1.4,-2,0,-1,5,16,employed,3k_4k,5,917
po6didsknl,30,female,1,0,3,-3,-1,-48.333333333333336,-145,1,0.3333333333333333,0.6666666666666666,6,0.5,-1,-1,-1,-1,3,19,employed,3k_4k,3,477
po9c716m7i,36,female,6,0,3,-3,-1,-32.666666666666664,-98,1,0.5,1,3.5,1,-1,-1,-1,-1,3,16,employed,3k_4k,3,171
pohc5dnk6g,32,male,9,9,0,9,1,19.11111111111111,172,1,1,1,1,1,0.8,-1,2,1,9,4,employed,1k_2k,9,299
pojroad8av,56,female,0,0,1,-1,-1,-50,-50,1,0,0,1,1,0,0,0,-1,1,12,selfemployed,0_1k,1,179
pokc96mq5l,27,male,9,6,0,6,1,34.333333333333336,206,1,0,0.5,2,0.6666666666666666,-0.8333333333333334,-2,1,1,6,16,employed,1k_2k,6,237
pokleml5q2,22,female,4,3,2,1,0.2,-1.4,-7,0.6,0.6,1,2,0.4,0,-2,1,-0.8,5,22,student,0_1k,5,391
ponkvd5uhd,47,female,4,0,3,-3,-1,-31,-93,0.3333333333333333,0,0.6666666666666666,3,0,-1.3333333333333333,-2,-1,-1,3,13,employed,0_1k,3,358
povck861kk,28,male,7,4,0,4,1,16.5,66,1,0.25,0.25,3,0.75,-0.5,-1,0,1,4,16,employed,2k_3k,4,338
pp09h8mu6v,39,male,2,0,3,-3,-1,-50,-150,0.6666666666666666,0,0.3333333333333333,3,0.6666666666666666,-1.6666666666666667,-2,-1,-1,3,15,employed,3k_4k,3,294
pp552vm3jb,53,male,2,0,6,-6,-1,-50,-300,0.3333333333333333,0.16666666666666666,0.8333333333333334,5,0,-1.1666666666666667,-2,-1,-1,6,18,selfemployed,3k_4k,6,537
pp5ad6r9ka,31,female,3,0,2,-2,-1,-34,-68,1,0,0,1,1,-2,-2,-2,-1,2,15,employed,2k_3k,2,190
pp6jirdmle,28,male,8,3,0,3,1,39.666666666666664,119,1,0,0.3333333333333333,3,0.6666666666666666,-0.3333333333333333,-1,0,1,3,16,employed,2k_3k,3,274
ppbi6f89nl,47,female,3,0,2,-2,-1,-37.5,-75,1,0,1,2,1,-1,-2,0,-1,2,18,selfemployed,1k_2k,2,407
ppq4ehuvoi,27,female,5,0,4,-4,-1,-17.25,-69,1,0,1,3,1,-1.25,-2,-1,-1,4,16,employed,3k_4k,4,378
pq6mcgoqgt,45,female,5,1,2,-1,-0.3333333333333333,-14,-42,0.6666666666666666,0,1,6,1,-2,-3,-1,-1,3,17,employed,3k_4k,3,298
pq7r70mnvs,21,female,3,0,3,-3,-1,-47.333333333333336,-142,1,0.3333333333333333,0.5,1,0.3333333333333333,1,1,1,-1,3,15,employed,3k_4k,3,199
pq93i0114s,23,male,10,4,0,4,1,50,200,1,0,1,3,0.75,-1,-2,0,1,4,13,employed,4k_5k,4,253
pqp37b82le,38,male,1,0,3,-3,-1,-44.333333333333336,-133,1,0,0,6,0.3333333333333333,0.3333333333333333,-1,1,-1,3,12,employed,3k_4k,3,381
pr1tt4np6b,25,male,1,0,4,-4,-1,-50,-200,0,1,1,2,0,0,-1,1,-1,4,16,employed,0_1k,4,240
pr6sekml7n,32,male,6,0,2,-2,-1,-16.5,-33,0,0,1,3,1,0.5,0,1,-1,2,12,employed,1k_2k,2,830
pre5kgo540,39,female,2,2,1,1,0.3333333333333333,4,12,0.6666666666666666,0,0.3333333333333333,3,0.6666666666666666,-1.3333333333333333,-3,0,-1,3,16,employed,1k_2k,3,297
prhlujas8r,30,male,3,0,1,-1,-1,-31,-31,1,0,0,2,0,-2,-2,-2,-1,1,14,employed,2k_3k,1,204
prsjqob67b,28,male,8,3,0,3,1,19.666666666666668,59,0.3333333333333333,0,1,3,0.6666666666666666,0,-2,3,1,3,16,employed,3k_4k,3,269
prvfvtbati,33,male,3,3,3,0,0,-1.8333333333333333,-11,1,1,1,2,1,-0.3333333333333333,-2,2,-0.3333333333333333,6,18,selfemployed,1k_2k,6,425
ps0k8ig481,32,male,10,2,0,2,1,50,100,0,0,0,2,1,-0.5,-1,0,1,2,12,employed,2k_3k,2,149
ps8bpoliol,27,male,8,4,0,4,1,50,200,1,0.25,1,1.5,1,-0.75,-2,1,1,4,16,employed,4k_5k,4,290
ps98rq7foh,30,male,6,2,0,2,1,31.5,63,1,0.5,1,3,1,-1,-1,-1,1,2,16,employed,5k_x,2,536
psmasc3auq,33,male,2,0,2,-2,-1,-39,-78,1,0,0,3,1,0,-1,1,-1,2,22,employed,3k_4k,2,196
pspnd84g9s,34,female,2,0,4,-4,-1,-32.75,-131,1,0.25,1,2,1,-1.25,-2,-1,-1,4,12,selfemployed,2k_3k,4,476
pss5736g4h,24,male,10,6,0,6,1,50,300,1,0.2,1,1,0.6666666666666666,0.25,-1,1,1,6,20,selfemployed,5k_x,6,411
pstctu83l8,45,male,1,0,2,-2,-1,-50,-100,0.5,0,0,6,1,-4.5,-6,-3,-1,2,14,employed,1k_2k,2,415
pt4j0pokcj,29,male,3,0,5,-5,-1,-39.6,-198,1,0,0.5,1,0.8,-0.8,-3,2,-1,5,14,selfemployed,0_1k,5,456
pt4ok81osa,22,male,0,0,2,-2,-1,-50,-100,1,0,0,2.5,0,-1.5,-2,-1,-1,2,12,selfemployed,4k_5k,2,149
pt8dna484n,40,male,8,3,2,1,0.2,3.8,19,0.8,0,0.4,2,0.75,-1,-2,0,-0.2,5,16,employed,5k_x,5,504
ptfcfaaij3,24,male,10,3,0,3,1,38,114,1,0,0,2,1,-0.3333333333333333,-1,0,1,3,12,employed,1k_2k,3,141
pti8q2pfad,26,male,0,0,4,-4,-1,-44,-176,0.75,0,0.3333333333333333,1.5,1,0,-1,1,-1,4,18,employed,1k_2k,4,335
ptiaaae9ud,27,male,1,0,4,-4,-1,-42,-168,0.75,0,0.75,4,0.5,-1,-2,0,-1,4,17,employed,1k_2k,4,423
ptmnc45138,23,male,8,1,0,1,1,36,36,1,1,1,2,1,0,0,0,1,1,6,selfemployed,0_1k,1,150
ptqjgjf25d,37,male,3,0,1,-1,-1,-38,-38,1,0,1,1,1,0,0,0,-1,1,16,employed,3k_4k,1,221
ptqlp2k09d,39,female,3,1,2,-1,-0.3333333333333333,-18.333333333333332,-55,0.6666666666666666,0.3333333333333333,0,2,1,-0.3333333333333333,-2,2,1,3,14,employed,4k_5k,3,244
ptqu4ourub,45,female,8,3,0,3,1,41.666666666666664,125,0.3333333333333333,0,1,1,0.6666666666666666,-1,-1,-1,1,3,12,selfemployed,3k_4k,3,315
ptu7m20por,72,female,1,0,4,-4,-1,-49.75,-199,1,0,0,2.5,1,-1,-2,1,-1,4,20,employed,4k_5k,4,506
pu5k586m01,34,male,3,0,2,-2,-1,-36,-72,1,0,0.5,1.5,0.5,1,0,2,-1,2,13,selfemployed,2k_3k,2,239
pubvue9nof,33,female,0,0,1,-1,-1,-50,-50,0,0,1,2,0,-2,-2,-2,-1,1,14,employed,1k_2k,1,145
pumidl9a5m,34,female,3,0,3,-3,-1,-50,-150,1,0,0.6666666666666666,4,1,-2,-2,-2,-1,3,16,employed,2k_3k,3,288
pv3l4i7h97,52,female,1,0,2,-2,-1,-48,-96,1,0,0,2,1,-0.5,-1,0,-1,2,16,employed,3k_4k,2,185
pve9ncn9s6,35,male,10,4,0,4,1,28.5,114,0.75,0,0.5,2.5,0.5,-0.75,-2,0,1,4,18,employed,5k_x,4,678
pvlbb9h2ok,30,male,3,0,4,-4,-1,-37,-148,1,0,0,1.5,1,-0.3333333333333333,-1,1,-1,4,14,selfemployed,0_1k,4,249
pvmdov8kus,45,male,10,1,0,1,1,47,47,1,0,1,4,1,-1,-1,-1,1,1,16,employed,0_1k,1,271
pvojep7hrk,70,female,6,1,3,-2,-0.5,-3,-12,1,0.25,1,6,0.6666666666666666,-1,-2,0,1,4,12,selfemployed,5k_x,4,486
pvsp7i8pvn,57,female,3,2,2,0,0,-16,-64,0.75,0,1,1,1,-2.25,-4,-1,-0.5,4,17,selfemployed,1k_2k,4,1028
pvv3hg6tjb,33,male,8,3,0,3,1,37.666666666666664,113,0,0,0.3333333333333333,2,0.5,-1.3333333333333333,-3,0,1,3,16,employed,4k_5k,3,280
pr4ak5i3sl,26,female,9,4,0,4,1,31.25,125,1,1,1,3.5,1,NaN,Inf,-Inf,1,4,16,employed,4k_5k,4,142
p7s0qv9m0d,36,male,4,0,2,-2,-1,-14,-28,1,0,0,1.5,1,NaN,Inf,-Inf,-1,2,18,employed,3k_4k,2,147
p6mq9bhhpb,45,male,5,0,4,-4,-1,-21.5,-86,1,0,0,2,0.75,-2,-2,-2,-1,4,14,employed,2k_3k,4,226
pvde81okc3,29,male,8,4,0,4,1,37.25,149,1,NaN,1,3.5,1,-1,-1,-1,1,4,16,employed,3k_4k,4,223
pmrojsjeh0,36,female,1,0,4,-4,-1,-32.25,-129,0.25,0,0.25,1,0.25,0,-1,1,-1,4,13,employed,4k_5k,4,176
ptoru8sg0c,31,male,6,2,2,0,0,-3.5,-14,0.25,0,0.5,3,1,0,-1,1,1,4,15,employed,2k_3k,4,294
pogc712epf,35,male,1,0,5,-5,-1,-45.4,-227,1,0,1,2,0.4,-0.3333333333333333,-1,1,-1,5,18,employed,3k_4k,5,368
ppu090ss8n,35,male,2,0,4,-4,-1,-36,-144,1,1,1,1,1,NaN,Inf,-Inf,-1,4,18,employed,4k_5k,4,280
p24aloafpe,55,female,9,1,0,1,1,50,50,1,1,1,1,1,NaN,Inf,-Inf,1,1,3,selfemployed,0_1k,1,302
pn5a9a3qva,29,female,7,4,3,1,0.14285714285714285,-6.142857142857143,-43,0.2,0,0.5714285714285714,3,0.8571428571428571,0.6666666666666666,-1,2,-0.7142857142857143,7,18,employed,2k_3k,7,341
pilgv71l13,37,male,8,3,0,3,1,38.666666666666664,116,1,0.3333333333333333,0,2,1,0,0,0,1,3,17,employed,1k_2k,3,280
pjomiut9f3,20,male,5,0,4,-4,-1,-24.25,-97,1,0,0,2,1,-1,-2,0,-1,4,14,selfemployed,1k_2k,4,820
psrrgsojv6,42,female,10,1,0,1,1,32,32,1,1,1,2,1,NaN,Inf,-Inf,1,1,16,employed,4k_5k,1,164
pktvbaqfgq,37,male,2,0,3,-3,-1,-47.333333333333336,-142,0.6666666666666666,0,0,3,0.6666666666666666,-1.5,-2,-1,-1,3,16,employed,2k_3k,3,390
pbkjfru1lp,38,female,2,0,5,-5,-1,-45.8,-229,0.6,0,0.2,2,0.6,-1,-1,-1,-1,5,16,employed,3k_4k,5,401
p5po8b0u17,44,male,9,4,0,4,1,41,164,0.75,0,1,2.5,1,1,0,2,1,4,16,employed,5k_x,4,906
pv0evsea4b,35,female,1,0,3,-3,-1,-44.666666666666664,-134,0.6666666666666666,0,0.6666666666666666,3,0.6666666666666666,-1.5,-2,-1,-1,3,16,selfemployed,0_1k,3,355
p90o1dab0u,57,female,2,0,2,-2,-1,-42.5,-85,NaN,0,0,2,NaN,-1,-1,-1,-1,2,12,employed,5k_x,2,326
pnur43f063,40,female,6,3,0,3,1,32.333333333333336,97,1,0.6666666666666666,1,3,1,0.5,0,1,1,3,12,employed,3k_4k,3,434
pc10skk9at,40,male,7,2,0,2,1,30.5,61,0.5,0,1,1.5,1,-2,-2,-2,1,2,16,employed,4k_5k,2,215
pd3dvjq6g7,28,male,10,3,0,3,1,50,150,1,0,1,3,1,NaN,Inf,-Inf,1,3,12,employed,2k_3k,3,261
p2igo6qgaa,46,female,6,5,3,2,0.25,4.75,38,0.375,0,0.5,3,1,0.6666666666666666,0,1,0.25,8,16,employed,3k_4k,8,471
p05gc4bgi5,28,male,8,2,0,2,1,50,100,0,0,1,2,1,NaN,Inf,-Inf,1,2,18,employed,5k_x,2,141
pj761a7mlo,25,female,8,5,1,4,0.6666666666666666,13.166666666666666,79,0.25,0.16666666666666666,0.3333333333333333,2,0.4,-0.3333333333333333,-1,1,0.3333333333333333,6,19,employed,4k_5k,6,375
