id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,"r_frequency","r_social","r_situation","r_control","r_active"
1,"p7loem1g49","asp_judg","std","gen",0,"normally the benefits don't out weigh the risks.",-22,"less_reg","0","1","controllable","active"
2,"p7loem1g49","asp_judg","std","gen",1,"I like to be in control",-24,"day","0","1","controllable","active"
3,"p7loem1g49","asp_judg","std","gen",2,"I don't like to lose.",-45,"week","0","1","controllable","active"
4,"p7loem1g49","asp_judg","std","gen",3,"I want to keep what I have gained.",-45,"day","0","1","controllable","active"
5,"p3jalp38g1","asp_judg","std","gen",0,"I would rather regret something I did do than regret that I didn't try something.",50,"less_reg","0","1","controllable","active"
6,"p3jalp38g1","asp_judg","std","gen",1,"Usually when I take calculated risks that are well thought-out, I have fair to good results.",50,"less_reg","0","1","controllable","active"
7,"p3jalp38g1","asp_judg","std","gen",2,"Life gets boring if I don't take any risks.",50,"less_reg","0","1","NA","NA"
8,"p3jalp38g1","asp_judg","std","gen",3,"If I want to get ahead, some risks are pretty much inevitable.",50,"less_reg","0","1","controllable","active"
9,"pg3evmk92s","asp_judg","std","gen",0,"Taking risks can lead to financial distress",-29,"month","0","0","controllable","active"
10,"pg3evmk92s","asp_judg","std","gen",1,"Taking risks might endanger your physical or mental health",-33,"less_reg","0","0","uncontrollable","active"
11,"pg3evmk92s","asp_judg","std","gen",2,"Taking risks at work might cause you to lose your job or annoy your coworkers or boss",-24,"year","0","0","uncontrollable","active"
12,"p3lera2r97","asp_judg","std","gen",0,"I don't like losing",-50,"day","0","0","uncontrollable","passive"
13,"p3lera2r97","asp_judg","std","gen",1,"I want to be safe",-50,"day","0","0","controllable","active"
14,"p3lera2r97","asp_judg","std","gen",2,"I don't like being stressed",-50,"day","0","0","controllable","active"
15,"p3lera2r97","asp_judg","std","gen",3,"I like sleeping well at night",-50,"day","0","0","controllable","active"
16,"p3lera2r97","asp_judg","std","gen",4,"I like knowing where I'm going",-50,"day","0","0","controllable","active"
17,"pm4s2hpf4p","asp_judg","std","gen",0,"I tend to avoid taking risks because the fear of the unknown is looming.",-50,"week","0","0","controllable","passive"
18,"pm4s2hpf4p","asp_judg","std","gen",1,"I avoid taking risks because uncertainty can breed failure.",-47,"week","0","0","controllable","active"
19,"pm4s2hpf4p","asp_judg","std","gen",2,"I avoid taking risks because I fear that I might fail.",-50,"week","0","0","controllable","active"
20,"ptfcfaaij3","asp_judg","std","gen",0,"I take risks because they lead to more exciting opportunities in life.",31,"month","0","0","controllable","active"
21,"ptfcfaaij3","asp_judg","std","gen",1,"I take risks because it makes me feel more alive and human.",41,"week","0","1","controllable","active"
22,"ptfcfaaij3","asp_judg","std","gen",2,"I take risks because it makes me more noticeable to me people around me.",45,"week","0","1","controllable","active"
23,"pjomiut9f3","asp_judg","std","gen",0,"I'm willing to take risks if there is no virtually no downside. People might think of skydiving as a risk, for instance, but these days there is almost no risk because of the technology we have. This is why I consider risky things the things I fear.",27,"week","0","1","controllable","active"
24,"pjomiut9f3","asp_judg","std","gen",1,"Yes because taking risks helps me grow as a person.",21,"week","0","1","controllable","active"
25,"pjomiut9f3","asp_judg","std","gen",2,"Yes because I know I won't live forever.",26,"day","0","0","controllable","active"
26,"pjomiut9f3","asp_judg","std","gen",3,"Yes because I know that risks help me show what I care about in life.",12,"week","0","1","controllable","active"
27,"pjomiut9f3","asp_judg","std","gen",4,"Yes because taking risks is involved in showing your love for something.",25,"week","0","0","controllable","active"
28,"pjomiut9f3","asp_judg","std","gen",5,"The answer is no when the result could be catastrophic.",-32,"week","0","1","uncontrollable","passive"
29,"pjomiut9f3","asp_judg","std","gen",6,"I would say no when I could be put in physical harm.",-21,"week","0","0","controllable","active"
30,"pjomiut9f3","asp_judg","std","gen",7,"I'm a person who takes risks because everything in life involves risk.",26,"day","0","0","controllable","passive"
31,"pjomiut9f3","asp_judg","std","gen",8,"I avoid risks when I don't have enough experience to feel safe in that situation.",-31,"week","0","0","uncontrollable","passive"
32,"pjomiut9f3","asp_judg","std","gen",9,"I take risks when I need to uphold my principles.",27,"week","0","0","controllable","active"
33,"pjomiut9f3","asp_judg","std","gen",10,"I avoid risks when I'm in over my head.",28,"week","0","1","controllable","active"
34,"pjomiut9f3","asp_judg","std","gen",11,"I take risks when I get pleasure from something.",13,"week","0","0","controllable","active"
35,"pj0s9l55ia","asp_judg","std","gen",0,"Thinking about whether or not I like to try new things",-4,"month","0","0","controllable","active"
36,"pj0s9l55ia","asp_judg","std","gen",1,"Thinking about whether I am adventurous",-11,"less_once","0","0","controllable","active"
37,"pj0s9l55ia","asp_judg","std","gen",2,"Thinking about whether I want things to stay the same",-14,"month","0","0","controllable","active"
38,"pogc712epf","asp_judg","std","gen",0,"I avoid taking risks since I am married.",-50,"day","0","1","controllable","active"
39,"pogc712epf","asp_judg","std","gen",1,"I avoid taking risks because I have kids.",-50,"day","0","1","controllable","active"
40,"pogc712epf","asp_judg","std","gen",2,"I avoid taking risks because I have bills to pay.",-50,"day","0","0","controllable","active"
41,"pogc712epf","asp_judg","std","gen",3,"I avoid taking risks because of I don't like uncertain outcomes.",-50,"day","0","1","controllable","active"
42,"pogc712epf","asp_judg","std","gen",4,"I avoid taking risks because I choose the safe bet.",-44,"day","0","1","controllable","active"
43,"pogc712epf","asp_judg","std","gen",5,"I avoid taking risks because I am content with what I have.",-50,"day","0","1","controllable","active"
44,"phvr676g54","asp_judg","std","gen",0,"I try to avoid taking risks because I feel that being safe is more important to me",-43,"week","0","0","controllable","passive"
45,"phvr676g54","asp_judg","std","gen",1,"I have seen too many people who take unnecessary risks fail and take forever to recover from them",-46,"month","1","0","controllable","passive"
46,"phvr676g54","asp_judg","std","gen",2,"I don't feel the rewards for doing risky things is wort it.",-44,"month","0","0","controllable","passive"
47,"pbv2l7v8b7","asp_judg","std","gen",0,"I am adventurous ",NULL,NULL,NULL,NULL,NULL,NULL
48,"povck861kk","asp_judg","std","gen",0,"I am willing to take risk that lead to a greater benefit than downside.",3,"NA","0","NA","controllable","NA"
49,"povck861kk","asp_judg","std","gen",1,"I am willing to take the risks that are necessary because some risk are necessary in life.",9,"month","0","NA","controllable","passive"
50,"povck861kk","asp_judg","std","gen",2,"I am willing to take risk that my spouse and I agree are going to to be best for our family",10,"month","1","0","controllable","active"
51,"pkovd8l667","asp_judg","std","gen",0,"I would rather avoid physical harm caused by risk.",11,"less_once","0","0","uncontrollable","passive"
52,"pkovd8l667","asp_judg","std","gen",1,"I would rather not risk financial constrain caused by risk.",-11,"less_once","0","0","uncontrollable","NA"
53,"pkovd8l667","asp_judg","std","gen",2,"Playing it safe comes more natural to me.",7,"month","0","0","controllable","passive"
54,"pgjsv4g3p0","asp_judg","std","gen",0,"I like stability. ",-50,"day","0","0","controllable","NA"
55,"pgjsv4g3p0","asp_judg","std","gen",1,"I am frugal with money.",-50,"NA","0","0","controllable","NA"
56,"pgjsv4g3p0","asp_judg","std","gen",2,"I am a constant worrier. ",-50,"day","0","0","uncontrollable","NA"
57,"pfr0l0hae0","asp_judg","std","gen",0,"Generally, I'm a cautious person with a well-developed sense of self-protection.",-50,"week","1","1","controllable","active"
58,"pfr0l0hae0","asp_judg","std","gen",1,"I do not want to expose myself to any unnecessary risk.",-48,"day","1","1","controllable","passive"
59,"pfr0l0hae0","asp_judg","std","gen",2,"Exposure to risks involves not appreciating the value of your own person.",-48,"week","1","0","controllable","active"
60,"pvsp7i8pvn","asp_judg","std","gen",0,"I cannot afford to take risks that could be costly to my physical health or financially.",-50,"week","0","1","controllable","active"
61,"pfg9qmo3qm","asp_judg","std","gen",0,"I am not a risk taker because I am not a gambler.",-36,"less_once","0","1","controllable","passive"
62,"pfg9qmo3qm","asp_judg","std","gen",1,"The fear of failure prevents me from taking risks.",-43,"less_reg","1","1","uncontrollable","passive"
63,"p8bjleaivo","asp_judg","std","gen",0,"I no longer like to take risks because I have children",-39,"day","0","1","controllable","active"
64,"pvsp7i8pvn","asp_judg","std","gen",1,"I avoid risk when I can because I prefer the safer route.",-20,"day","0","0","controllable","active"
65,"pvsp7i8pvn","asp_judg","std","gen",2,"Risk is not exciting to me as it is to some people.",-13,"NA","1","0","uncontrollable","passive"
66,"pfg9qmo3qm","asp_judg","std","gen",2,"I probably would have been more successful in my life if I had taken more risks.",1,"less_once","0","1","uncontrollable","passive"
67,"p8bjleaivo","asp_judg","std","gen",1,"I am likely to take risks because I am suicidal and don't care sometimes if I live or die",-50,"week","0","1","controllable","passive"
68,"pvsp7i8pvn","asp_judg","std","gen",3,"Thinking of adverse consequences makes me avoid risk.",-50,"week","0","NA","controllable","active"
69,"p8bjleaivo","asp_judg","std","gen",2,"I avoid risks because I don't want to love the rest of my life maimed if something goes wrong ",-50,"NA","1","0","controllable","active"
70,"p8bjleaivo","asp_judg","std","gen",3,"I am likely to take risks because I am stupid and impulsive ",32,"day","0","1","controllable","active"
71,"p8bjleaivo","asp_judg","std","gen",4,"I am too emotional.  That tends to work on both sides of this fence ",2,"day","0","NA","uncontrollable","passive"
72,"p8bjleaivo","asp_judg","std","gen",5,"I enjoy the thrill of doing something taboo",50,"month","0","1","controllable","active"
73,"pstctu83l8","asp_judg","std","gen",0,"I am not someone who likes taking much risk, I prefer to play things safer and prevent problems or loss.",-31,"month","0","0","controllable","active"
74,"p2ss3vbadg","asp_judg","std","gen",0,"I consider whether or not the risk will have an impact on my son.",-47,"day","0","0","uncontrollable","active"
75,"p2ss3vbadg","asp_judg","std","gen",1,"I consider whether the risk will have an impact on other family members.",-29,"day","0","0","controllable","active"
76,"p2ss3vbadg","asp_judg","std","gen",2,"I consider whether the reward of the risk is something I can't easily do without.",-37,"week","0","1","uncontrollable","active"
77,"p2ss3vbadg","asp_judg","std","gen",3,"I consider whether the consequence of the risk is something I can manage without too much hassle.",9,"day","0","1","controllable","active"
78,"p12d5mfv3i","asp_judg","std","gen",0,"No because I have a child to worry about",-38,"day","1","1","controllable","NA"
79,"pes7cp1ohf","asp_judg","std","gen",0,"I rather not risking losing something.",-40,"month","0","0","controllable","passive"
80,"pes7cp1ohf","asp_judg","std","gen",1,"I am happy with what I have. No need to risk for more.",NULL,NULL,NULL,NULL,NULL,NULL
81,"pes7cp1ohf","asp_judg","std","gen",2,"Risks are called risks for a reason.",NULL,NULL,NULL,NULL,NULL,NULL
82,"p7ola58i6r","asp_judg","std","gen",0,"I try to avoid risks because they may have a negative outcome.",-40,"week","0","0","controllable","passive"
83,"p7ola58i6r","asp_judg","std","gen",1,"Some things just aren't worth risking.",-47,"week","1","1","controllable","active"
84,"p7ola58i6r","asp_judg","std","gen",2,"Odds are not good.",-42,"less_once","1","NA","controllable","passive"
85,"p7ola58i6r","asp_judg","std","gen",3,"I prefer a likely outcome.",-46,"less_once","1","1","controllable","active"
86,"pkpenn3v42","asp_judg","std","gen",0,"without taking risks you won't grow",50,"month","0","0","uncontrollable","active"
87,"pkpenn3v42","asp_judg","std","gen",1,"Taking risks is too scary",-50,"day","0","0","uncontrollable","active"
88,"pkpenn3v42","asp_judg","std","gen",2,"I have regretted when risks turned out badly for me in the past.",-50,"week","0","1","uncontrollable","active"
89,"pcq03ude4t","asp_judg","std","gen",0,"I am willing to take risks to a point. Risk for purpose not risk for no reason",24,"month","0","1","controllable","active"
90,"pcq03ude4t","asp_judg","std","gen",1,"For financial gain",25,"year","0","1","controllable","active"
91,"pcq03ude4t","asp_judg","std","gen",2,"For the thrill",16,"month","0","1","controllable","active"
92,"po1ihq75ko","asp_judg","std","gen",0,"I try to avoid risks because I cant afford to make life harder for me",-50,"week","0","1","controllable","active"
93,"po1ihq75ko","asp_judg","std","gen",1,"I don't like not knowing outcomes",-48,"day","0","0","controllable","active"
94,"po1ihq75ko","asp_judg","std","gen",2,"I like to be sure of things",-47,"month","0","0","controllable","active"
95,"paktl8bjj7","asp_judg","std","gen",0,"I avoid taking risks because I work too hard for what I have.",-30,"day","0","1","controllable","active"
96,"paktl8bjj7","asp_judg","std","gen",1,"I avoid taking risks because I have a cautious personality. ",-32,"week","1","1","controllable","active"
97,"p2igo6qgaa","asp_judg","std","gen",0,"I like to invest in the stock market",26,"month","0","1","uncontrollable","active"
98,"p2igo6qgaa","asp_judg","std","gen",1,"I don't like to risk my health",-39,"day","0","1","controllable","active"
99,"p2igo6qgaa","asp_judg","std","gen",2,"I don't like roller coasters.",-20,"less_once","0","1","uncontrollable","active"
100,"p2igo6qgaa","asp_judg","std","gen",3,"I am not afraid to do something I have never done before.",35,"week","0","1","controllable","active"
101,"p2igo6qgaa","asp_judg","std","gen",4,"Being scared of something doesn't stop me.",23,"week","0","1","controllable","active"
102,"p2igo6qgaa","asp_judg","std","gen",5,"I like to follow the rules",-30,"day","0","1","controllable","active"
103,"pi3g5e91tk","asp_judg","std","gen",0,"I do not want to fail. ",-43,"less_once","0","0","uncontrollable","active"
104,"pi3g5e91tk","asp_judg","std","gen",1,"I am scared of uncertain outcomes. ",-42,"year","0","0","uncontrollable","passive"
105,"pve9ncn9s6","asp_judg","std","gen",0,"The greater the risk, the greater the reward.",48,"month","0","1","uncontrollable","active"
106,"pve9ncn9s6","asp_judg","std","gen",1,"I am young and therefore can tolerate the volatility of risk. ",33,"day","0","1","uncontrollable","active"
107,"pve9ncn9s6","asp_judg","std","gen",2,"Taking risks can be exhilarating.",43,"week","0","1","uncontrollable","active"
108,"pve9ncn9s6","asp_judg","std","gen",3,"Taking risks makes you feel alive.",40,"week","0","1","controllable","active"
109,"p3ruvk7t59","asp_judg","std","gen",0,"No because it can have long term damages.",-47,"day","0","0","controllable","active"
110,"pubvue9nof","asp_judg","std","gen",0,"I am not able to take any risks due to my health and financial status.",-50,"day","0","1","controllable","active"
111,"p021ssajin","asp_judg","std","gen",0,"I will lose money if I take risks.  ",-48,"year","0","1","uncontrollable","NA"
112,"p021ssajin","asp_judg","std","gen",1,"I like to be safe.  ",-49,"NA","0","0","controllable","active"
113,"p021ssajin","asp_judg","std","gen",2,"I am not an adventurous person.",-50,"NA","0","1","NA","NA"
114,"pc6644v8tl","asp_judg","std","gen",0,"I am a persone who do not like taking risks. I am uncomfortable with situations in which I do not know what the final outcome will be. I do not like to take chances that things will work out or that I will benefit in the end. I would rather keep to the activities and situations that are familiar whenever possible.",-50,"NA","0","1","NA","passive"
115,"pc6644v8tl","asp_judg","std","gen",1,"I do not like to fail and if I don't know the end result there is a chance I will fail.",2,"year","0","0","uncontrollable","active"
116,"pc6644v8tl","asp_judg","std","gen",2,"I would not want to do something risky and take a chance I would injure myself.",-41,"NA","0","0","controllable","NA"
117,"p5pi6t9gsd","asp_judg","std","gen",0,"I think risks are generally unsafe and I prefer to act safely.",-42,"day","0","0","controllable","active"
118,"p5pi6t9gsd","asp_judg","std","gen",1,"If something is risky you usually have a good chance of missing out on something else and I feel better not taking the chance.",-43,"month","0","0","controllable","active"
119,"pc6644v8tl","asp_judg","std","gen",3,"I do not like to take a risk gambling money because I think I would have a very low chance of winning.",-43,"less_once","1","1","uncontrollable","active"
120,"p6k4qd8b38","asp_judg","std","gen",0,"I've got a successful marriage and about to be a father, so no...no risk taking for me.",-50,"less_once","0","0","controllable","active"
121,"p5pi6t9gsd","asp_judg","std","gen",2,"There is a lower chance of succeeding with risks and I prefer to succeed.",-32,"month","0","0","controllable","active"
122,"p021ssajin","asp_judg","std","gen",3,"I like to know what to expect.",-48,"NA","0","1","uncontrollable","NA"
123,"p6k4qd8b38","asp_judg","std","gen",1,"I don't want to risk ruining what I already have in life.",-37,"less_once","0","1","uncontrollable","passive"
124,"ptoru8sg0c","asp_judg","std","gen",0,"I would never go sky-diving or bungee-jumping",-21,"NA","0","0","controllable","active"
125,"ptoru8sg0c","asp_judg","std","gen",1,"I tend not to drive as fast as most of my friends",-16,"day","1","1","controllable","active"
126,"ptoru8sg0c","asp_judg","std","gen",2,"I've invested in the stock market",10,"less_once","0","1","uncontrollable","active"
127,"ptoru8sg0c","asp_judg","std","gen",3,"I like to bet on sports and play poker",20,"month","0","1","uncontrollable","active"
128,"ptoru8sg0c","asp_judg","std","gen",4,"I'd never ride a motorcycle",-7,"NA","0","0","controllable","active"
129,"pc6644v8tl","asp_judg","std","gen",4,"I do not like to take risks when it comes to getting a new job. It would worry me that if I tried for another job or position I may dislike it more than my current position.",-48,"NA","0","1","controllable","passive"
130,"ptoru8sg0c","asp_judg","std","gen",5,"I've never been in a fight",-11,"NA","0","0","uncontrollable","passive"
131,"p42f7pvrt2","asp_judg","std","gen",0,"I would be uncertain of the outcome when taking a risk.",-50,"NA","0","0","uncontrollable","passive"
132,"p42f7pvrt2","asp_judg","std","gen",1,"Thinking of taking a risk causes me extreme anxiety.",-50,"month","0","1","uncontrollable","passive"
133,"pddp1iltbm","asp_judg","std","gen",0,"No it is not good to take risks. ",23,"week","0","1","NA","passive"
134,"p42f7pvrt2","asp_judg","std","gen",2,"The thought of taking a risk is fearful.",-50,"NA","NA","NA","uncontrollable","passive"
135,"pddp1iltbm","asp_judg","std","gen",1,"No I am not. I do not want any surprises ",24,"week","1","1","controllable","passive"
136,"pddp1iltbm","asp_judg","std","gen",2,"I am sorry about nothings not running smoothly ",NULL,NULL,NULL,NULL,NULL,NULL
137,"p42f7pvrt2","asp_judg","std","gen",3,"When taking a risk the outcome could be not what is expected, and the outcome is final.",-50,"NA","0","0","uncontrollable","passive"
138,"pddp1iltbm","asp_judg","std","gen",3,"I do not want to have to deal with risks gone wrong ",34,"week","0","1","controllable","passive"
139,"p42f7pvrt2","asp_judg","std","gen",4,"When taking a risk, there are no do-overs.",-48,"NA","0","0","uncontrollable","active"
140,"pcvfb8p5b5","asp_judg","std","gen",0,"Risks aren't generally worth it",-50,"NA","0","0","uncontrollable","passive"
141,"pcvfb8p5b5","asp_judg","std","gen",1,"Risking everything could result in losing everything which would be bad",-50,"NA","0","0","uncontrollable","passive"
142,"pcvfb8p5b5","asp_judg","std","gen",2,"Risking things could result in a great payoff but its not guaranteed.",0,"NA","NA","0","uncontrollable","NA"
143,"p42f7pvrt2","asp_judg","std","gen",5,"I have a son so taking a risk could put his livelihood in jeopardy. ",-50,"NA","0","0","NA","active"
144,"phafivbdml","asp_judg","std","gen",0,"I don't like taking risks because it feels awful to lose things liek money when it could have been avoided.",-30,"week","0","1","uncontrollable","active"
145,"pda8fk4eha","asp_judg","std","gen",0,"Invest in the stock market",20,"less_once","0","1","controllable","active"
146,"phafivbdml","asp_judg","std","gen",1,"I don't like taking risks because the unknown is frightening.",-50,"week","0","0","uncontrollable","active"
147,"pda8fk4eha","asp_judg","std","gen",1,"driving my car is a risk",6,"day","0","1","NA","active"
148,"phafivbdml","asp_judg","std","gen",2,"There is not enough information to make an informed decision when taking risks.",-36,"week","0","0","uncontrollable","active"
149,"pda8fk4eha","asp_judg","std","gen",2,"going to college without a job",6,"week","1","1","controllable","active"
150,"p42f7pvrt2","asp_judg","std","gen",6,"It is irresponsible of me to even consider taking a risk.",-50,"NA","0","NA","uncontrollable","passive"
151,"p1ro9fujga","asp_judg","std","gen",0,"I try to avoid taking risks by not doing dangerous sports like mountain biking, or skateboarding.",-38,"NA","0","0","controllable","active"
152,"p1ro9fujga","asp_judg","std","gen",1,"I tend to avoid risk by being a very conservative investor.",-29,"month","0","0","controllable","active"
153,"p1ro9fujga","asp_judg","std","gen",2,"I tend to avoid risk by staying away from big cities.",-27,"less_once","0","0","controllable","active"
154,"p1ro9fujga","asp_judg","std","gen",3,"I try to avoid risk by being a safe driver.",-11,"day","0","0","controllable","active"
155,"p1ro9fujga","asp_judg","std","gen",4,"I tend to avoid risk by not eating expired foods.",-22,"NA","0","0","controllable","active"
156,"p1ro9fujga","asp_judg","std","gen",5,"I avoid risk by getting an annual physical.",-29,"year","0","1","controllable","active"
157,"p1ro9fujga","asp_judg","std","gen",6,"I avoid risk by wearing a seatbelt.",-28,"day","0","0","controllable","active"
158,"p1ro9fujga","asp_judg","std","gen",7,"I avoid risk by cooking all meat to a safe temperature.",-21,"day","0","0","controllable","active"
159,"p1ro9fujga","asp_judg","std","gen",8,"I avoid risk by taking vitamins daily.",-11,"day","0","1","controllable","active"
160,"p1ro9fujga","asp_judg","std","gen",9,"I avoid risk by using a separate cutting board for raw chicken.",-20,"week","0","0","controllable","active"
161,"p1ro9fujga","asp_judg","std","gen",10,"I avoid risk by having a mammogram annually.",-27,"year","0","1","controllable","active"
162,"p1ro9fujga","asp_judg","std","gen",11,"I avoid risk by having insurance on my house and cars.",-34,"month","0","0","controllable","active"
163,"p1ro9fujga","asp_judg","std","gen",12,"I avoid risk by having health insurance.",-29,"month","0","0","controllable","active"
164,"p764r6onl3","asp_judg","std","gen",0,"I don't like failure.",-50,"year","0","1","controllable","passive"
165,"psqq79u3er","asp_judg","std","gen",0,"Most risks aren't worth taking so I don't take them.",-50,"NA","0","0","controllable","passive"
166,"psqq79u3er","asp_judg","std","gen",1,"When the risk is financial, I don't like losing money so I don't risk it.",-50,"NA","0","0","controllable","passive"
167,"p764r6onl3","asp_judg","std","gen",1,"I avoid risks to avoid bad consequences.",-50,"less_once","0","1","controllable","active"
168,"p764r6onl3","asp_judg","std","gen",2,"I'm uncomfortable taking risks.",-50,"NA","0","0","NA","NA"
169,"phnc8t6ol9","asp_judg","std","gen",0,"Taking risks can lead to failure with negative consequences.",-50,"less_once","0","1","uncontrollable","active"
170,"phnc8t6ol9","asp_judg","std","gen",1,"Taking risks is frowned upon by those whose opinions I trust.",-50,"month","0","1","uncontrollable","passive"
171,"phnc8t6ol9","asp_judg","std","gen",2,"I would rather play it safe and be cautious.",-50,"week","0","1","controllable","active"
172,"p775e7r08j","asp_judg","std","gen",0,"I avoid risk because I am scared.",-50,"NA","0","0","uncontrollable","active"
173,"p775e7r08j","asp_judg","std","gen",1,"I avoid risk because I fear the unknown.",-50,"NA","0","0","uncontrollable","active"
174,"pjqfr36tuv","asp_judg","std","gen",0,"You could get hurt taking risks",NULL,NULL,NULL,NULL,NULL,NULL
175,"pjqfr36tuv","asp_judg","std","gen",1,"You can lose money being risky",NULL,NULL,NULL,NULL,NULL,NULL
176,"pjqfr36tuv","asp_judg","std","gen",2,"Something bad can happen if you're too risky",NULL,NULL,NULL,NULL,NULL,NULL
177,"pjqfr36tuv","asp_judg","std","gen",3,"I avoid risks because of the unknown part of it",NULL,NULL,NULL,NULL,NULL,NULL
178,"pjqfr36tuv","asp_judg","std","gen",4,"NA",NULL,NULL,NULL,NULL,NULL,NULL
179,"pjqfr36tuv","asp_judg","std","gen",5,"NA",NULL,NULL,NULL,NULL,NULL,NULL
180,"pjqfr36tuv","asp_judg","std","gen",6,"NA",NULL,NULL,NULL,NULL,NULL,NULL
181,"pn73cj70pg","asp_judg","std","gen",0,"i avoid them because i'm the nervous type and risks are no good for my emotional well being.",50,"NA","0","0","controllable","NA"
182,"pjqfr36tuv","asp_judg","std","gen",7,"NA",NULL,NULL,NULL,NULL,NULL,NULL
183,"pjqfr36tuv","asp_judg","std","gen",8,"NA",NULL,NULL,NULL,NULL,NULL,NULL
184,"pjqfr36tuv","asp_judg","std","gen",9,"NA",NULL,NULL,NULL,NULL,NULL,NULL
185,"pn73cj70pg","asp_judg","std","gen",1,"i'm 63 and i've learned that generally speaking, i have more to lose than to gain by taking risks.  risks can be very tricky.",39,"NA","0","0","NA","NA"
186,"pn73cj70pg","asp_judg","std","gen",2,"generally speaking i've found that it's best to live life in a \"comfort zone\" which includes avoiding risks when possible",44,"NA","0","0","controllable","NA"
187,"pn73cj70pg","asp_judg","std","gen",3,"although there are times when taking risks is proper, generally i like to avoid them because it helps my relationships.",45,"NA","0","0","controllable","active"
188,"p4b9eblea9","asp_judg","std","gen",0,"I am willing to risk a lot if it depends on my own hard work and intelligence to get me through the situation.",24,"year","0","0","controllable","active"
189,"p4b9eblea9","asp_judg","std","gen",1,"I am willing to look into the future and judge all the possible consequences of a risk.",22,"month","0","0","controllable","active"
190,"p4b9eblea9","asp_judg","std","gen",2,"Some of the most successful people in the world have taken risks.",42,"year","1","0","controllable","active"
191,"phf8vg122e","asp_judg","std","gen",0,"avoid loss",-23,"year","0","1","controllable","active"
192,"p7u54fcc4q","asp_judg","std","gen",0,"I prefer the known to the unknown.",-11,"month","0","0","NA","passive"
193,"p7u54fcc4q","asp_judg","std","gen",1,"I'm not confident in my abilities.",-16,"week","1","1","NA","passive"
194,"p7u54fcc4q","asp_judg","std","gen",2,"I'm not confident that I can deal with negative outcomes. ",-29,"week","0","1","uncontrollable","passive"
195,"p7u54fcc4q","asp_judg","std","gen",3,"I learned to be cautious from my family.",-39,"NA","1","1","uncontrollable","passive"
196,"pncnv2dom0","asp_judg","std","gen",0,"I take risks for the rewards",50,"month","0","1","controllable","active"
197,"p7u54fcc4q","asp_judg","std","gen",4,"The prospect of taking risks makes me feel fearful.",-35,"month","0","1","uncontrollable","passive"
198,"pncnv2dom0","asp_judg","std","gen",1,"I take risks to learn",49,"day","0","1","controllable","active"
199,"pncnv2dom0","asp_judg","std","gen",2,"I take risks to advance causes I believe in",50,"year","0","1","controllable","active"
200,"pncnv2dom0","asp_judg","std","gen",3,"I take risks for the adventure",50,"month","0","1","controllable","active"
201,"pncnv2dom0","asp_judg","std","gen",4,"I take risks to experience new things",48,"year","0","1","controllable","active"
202,"pt4j0pokcj","asp_judg","std","gen",0,"I want to avoid possible losses of what I already have.",-30,"month","0","0","controllable","passive"
203,"pt4j0pokcj","asp_judg","std","gen",1,"I believe you should go with whatever choice is better probability-wise.",-9,"week","0","0","controllable","active"
204,"pt4j0pokcj","asp_judg","std","gen",2,"I think you should never risk more than what you are prepared to lose.",-34,"week","0","0","controllable","active"
205,"pt4j0pokcj","asp_judg","std","gen",3,"I think you should be loss averse, but not to the point of never taking any risk at all.",-19,"week","0","0","controllable","passive"
206,"pksurk0hbb","asp_judg","std","gen",0,"I generally try to avoid taking risks because I want to protect what I have and not lose it.",-50,"week","0","0","controllable","passive"
